time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1727317165562136000,-652.7908640136719,28.359191630297623,-81.55992104348735,0.6680318892002113,30.070072370767594,-1,-1,10.02767297380682,19.29524848172834,-1,-1
1727317636824056000,-181.52894384765625,28.35967825249006,-81.56070709497429,2.007223129272461,31.409263610839844,-1,-1,28.190608978271484,102.33333333333333,-1,-1
1727317818820866000,0.467865966796875,28.359454742606594,-81.56074065867942,2.475189208984375,31.877229690551758,-1,-1,29.013858795166016,40,-1,-1
1727317825400224000,7.04722412109375,28.359407196041065,-81.56072178128619,1.6045654618934755,31.00660594346086,-1,-1,10.042278713318101,18.50460783621132,-1,-1
1727317838099550000,19.746550048828126,28.359672562556423,-81.56070794675767,2.1486587524414062,31.55069923400879,-1,-1,25.05573081970215,102.33333333333333,-1,-1
1727317844527573000,26.174572998046877,28.359407196041065,-81.56072178128619,1.6045654618934755,31.00660594346086,-1,-1,10.042278713318101,18.50460783621132,-1,-1
1727317850815650800,32.46265087890625,28.359692348881143,-81.5607049739163,2.061574935913086,31.46361541748047,-1,-1,23.539024353027344,102.33333333333333,-1,-1
1727317857196838000,38.843837890625,28.359683763701916,-81.5607062632408,2.033479690551758,31.43552017211914,-1,-1,21.56609344482422,102.33333333333333,-1,-1
1727317863512589000,45.159589111328124,28.359407196041065,-81.56072178128619,1.6045654618934755,31.00660594346086,-1,-1,10.042278713318101,18.50460783621132,-1,-1
1727317865372226000,47.01922607421875,28.35954892758749,-81.56072007405287,1.6045654618934755,31.00660594346086,-1,-1,10.05155065159164,18.80055726564413,-1,-1
1727317871011020000,52.65802001953125,28.359680097582476,-81.56071669044432,1.9941635131835938,31.396203994750977,-1,-1,22.620803833007812,102,-1,-1
1727317877436531000,59.08353100585938,28.359502534475705,-81.56149622629471,1.9800033569335938,31.382043838500977,-1,-1,21.346223831176758,85.33333333333333,-1,-1
1727317883884343000,65.53134301757812,28.35954892758749,-81.56072007405287,1.6045654618934755,31.00660594346086,-1,-1,10.05155065159164,18.80055726564413,-1,-1
1727317887980337200,69.62733715820312,28.359553135356826,-81.5607341647865,7.594565461893474,36.99660594346086,-1,-1,10.046561238566662,78.85420065654064,-1,-1
1727317887983694000,69.63069409179687,28.359553135356848,-81.56073416478657,7.594565461893474,36.99660594346086,-1,-1,10.046570644199763,78.8542262628758,-1,-1
1727317892403393000,74.05039306640624,28.359565566290737,-81.56069368543288,9.854565461893472,39.256605943460855,-1,-1,10.039504647183204,97.11089965371855,-1,-1
1727317892409164000,74.0561640625,28.359565566290815,-81.56069368543292,9.854565461893472,39.256605943460855,-1,-1,10.039511429304584,97.11093169611334,-1,-1
1727317936035439000,117.68243920898438,28.35946511207034,-81.56159744636754,4.844565461893474,34.24660594346086,-1,-1,10.039730941698764,80.00640139591194,-1,-1
1727317937318980000,118.96597998046875,28.35946409387762,-81.56160660678708,4.844565461893474,34.24660594346086,-1,-1,10.039740868907773,80.8263234208411,-1,-1
1727317940357054000,122.00405395507812,28.359455676461295,-81.5616395652269,1.795206069946289,31.197246551513672,-1,-1,27.377260208129883,35,-1,-1
1727317946582317800,128.22931787109374,28.359460272855408,-81.5615200021339,1.8252410888671875,31.22728157043457,-1,-1,22.460607528686523,35,-1,-1
